SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
51.57,127,Queens,TNB S Toll Plaza - Queens Anchorage
59.65,47,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
44.11,268,Queens,CIP N LIE ramp - TNB
54.68,139,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
29.82,186,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
11.18,195,Manhattan,12th Ave S 57th St - 45th St
37.28,147,Manhattan,QMT E Manhattan Side - Toll Plaza
0.0,0,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
8.07,486,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
45.36,117,Queens,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)
44.73,47,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
11.18,478,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
42.87,49,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
10.56,504,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
43.49,65,Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
19.26,208,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
13.04,526,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
0.0,0,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
44.11,57,Bronx,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE
17.39,721,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
45.98,61,Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
0.0,0,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
0.0,0,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
41.63,105,Bronx,BWB S Toll Plaza - Queens Anchorage
45.36,55,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
50.95,84,Brooklyn,GOW S 7TH AVENUE - 92ND STREET
52.81,105,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
44.11,48,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
50.95,147,Bronx,BE S Griswold - Castle Hill Avenue
19.88,276,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
44.11,161,Brooklyn,BQE N LEONARD STREET - 46TH STREET
36.66,151,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
45.98,238,Queens,CIP S LIE - Hempstead Tpk
59.03,137,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
44.73,282,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
54.68,29,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
