SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
52.82,90,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
8.08,503,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
52.2,208,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
44.12,155,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side
14.29,510,Bronx,BE S Griswold - Castle Hill Avenue
42.25,116,Brooklyn,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL
44.12,89,Queens,LIE WB LITTLE NECK PKWY - NB CIP
14.29,303,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL
34.8,212,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
39.15,86,Staten Island,SIE W WOOLEY AVENUE - RICHMOND AVENUE
0.0,0,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
47.22,52,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
8.08,2454,Manhattan,Westside Hwy N 57th St - GWB
37.9,146,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
27.96,391,Queens,CIP S LIE - Hempstead Tpk
31.07,141,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
52.82,141,Bronx,BE N Castle Hill Avenue - Griswold Ave
47.85,116,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
29.83,141,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
27.96,243,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
42.25,85,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
52.2,149,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
52.2,149,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
31.07,325,Queens,LIE WB LITTLE NECK PKWY - NB CVE
55.92,146,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
21.75,1230,Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE
29.83,238,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
54.06,171,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
21.75,321,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
24.23,194,Brooklyn,VNB E SI GANTRY LOWER LEVEL - BROOLKYN GANTRY LOWER LEVEL
50.95,52,Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave
6.21,1346,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
24.85,412,Manhattan,FDR N Catherine Slip - 25th St
59.03,79,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
49.71,85,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
4.97,387,Manhattan,12th Ave S 57th St - 45th St
14.91,613,Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD
22.99,378,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
4.97,576,Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)
32.93,72,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
13.05,247,Manhattan,12th Ave N 40th - 57th St
29.2,141,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
34.18,137,Queens,BWB N Queens Anchorage - Toll Plaza
50.95,109,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
42.25,257,Queens,CIP N Hempstead Tpk - LIE
59.03,79,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
1.86,643,Manhattan,QMT E Manhattan Side - Toll Plaza
19.88,248,Queens,LIE W 108TH ST - 84TH ST
21.13,237,Queens,LIE W 108TH ST - 84TH ST
44.74,88,Queens,LIE WB LITTLE NECK PKWY - NB CIP
57.17,193,Queens,CIP N Hempstead Tpk - LIE
14.29,387,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
21.13,231,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
24.23,310,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
57.79,136,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
42.87,86,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
55.3,131,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
37.28,195,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
34.8,67,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
49.09,88,Brooklyn,GOW S 7TH AVENUE - 92ND STREET
14.91,356,Queens,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)
55.3,143,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
55.92,134,Bronx,BE S Griswold - Castle Hill Avenue
49.71,86,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
29.2,159,Brooklyn,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL
45.98,105,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
3.73,579,Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE
52.82,54,Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave
11.18,207,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
39.77,63,Bronx,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE
49.09,42,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
29.2,545,Manhattan,Westside Hwy S GWB - 57th St
54.06,139,Bronx,BE S Griswold - Castle Hill Avenue
44.11,48,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
24.85,303,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
50.95,84,Brooklyn,GOW S 7TH AVENUE - 92ND STREET
9.94,434,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL
49.71,150,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
24.23,113,Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave
31.07,531,Manhattan,Westside Hwy S GWB - 57th St
11.81,271,Manhattan,12th Ave N 40th - 57th St
9.94,222,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
6.84,345,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
39.77,185,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
57.79,284,Queens,CVE NB GCP - WILLETS PT BLVD
4.97,1286,Brooklyn,BQE N LEONARD STREET - 46TH STREET
9.94,418,Staten Island,ROUTE 169 S - MLK WALKER STREET
42.25,84,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
3.73,3785,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
27.96,115,Manhattan,11th ave s ganservoort - west st @ spring st
9.94,287,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
3.73,2021,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
0.0,0,Manhattan,QMT E Manhattan Side - Toll Plaza
16.78,417,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
44.12,61,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
1.24,2442,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
14.29,687,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
59.03,75,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
54.06,146,Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE
42.87,50,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
18.02,380,Manhattan,FDR N 25th - 63rd St
10.56,524,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
21.13,244,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
19.26,474,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
14.91,367,Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)
34.18,241,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
19.88,72,Bronx,MDE N RFK Bridge - 142nd St
8.08,354,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
44.74,98,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
0.0,0,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL
42.25,110,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
34.8,94,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
55.3,136,Bronx,BE N Castle Hill Avenue - Griswold Ave
14.29,145,Manhattan,QMT E Manhattan Side - Toll Plaza
16.16,765,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
49.71,163,Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE
44.12,155,Queens,TNB S Toll Plaza - Queens Anchorage
45.36,94,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
11.18,597,Staten Island,ROUTE 169 S - MLK WALKER STREET
13.05,902,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
50.95,146,Bronx,BE N Castle Hill Avenue - Griswold Ave
52.2,89,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
39.15,120,Queens,CVE NB LIE - WILLETS PT BLVD
11.18,476,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
29.2,252,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
19.88,351,Queens,TBB N QUEENS ANCHORAGE - BE N
49.09,112,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
16.78,297,Bronx,MDE N RFK Bridge - 142nd St
8.08,1491,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
57.79,80,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
44.74,153,Queens,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd)
44.74,152,Manhattan,FDR N 25th - 63rd St
9.94,609,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
37.9,187,Brooklyn,BQE N LEONARD STREET - 46TH STREET
9.94,959,Manhattan,FDR S 25th St - Catherine Slip
41.01,173,Brooklyn,BQE S 46TH STREET - LEONARD STREET
49.71,110,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
29.2,249,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
50.95,98,Queens,LIE W 108TH ST - 84TH ST
14.91,151,Manhattan,12th Ave S 57th St - 45th St
49.71,75,Queens,Belt Pkwy W 182nd St - JFK Expressway
52.2,149,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
34.8,251,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
14.29,302,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
21.75,85,Staten island,VNB W-SIE W SI GANTRY UPPER LEVEL - FINGERBOARD ROAD
42.87,115,Queens,LIE W 108TH ST - 84TH ST
34.8,92,Staten Island,ROUTE 169 S - MLK WALKER STREET
